Office,Last_Name,First_Name,Middle_Name,District,Party,DC_Office_Address,DC_Zip,DC_Phone,Website,Contact_Form,Email,Facebook,Twitter_X,Instagram,TikTok,Geographic_Region,AIPAC_Funded,War_Industrial_Complex_Funded
U.S. House,Soto,Darren,,FL-09,Democrat,1507 Longworth House Office Building,20515,202-225-9889,https://soto.house.gov,https://soto.house.gov/contact,Use web form,https://www.facebook.com/RepDarrenSoto,https://twitter.com/RepDarrenSoto,https://www.instagram.com/repdarrensoto,,Central FL (Osceola County),No,No
U.S. House,Mosca,Maxwell,Alejandro,FL-10,Democrat,1523 Longworth House Office Building,20515,202-225-2176,https://mosca.house.gov,https://mosca.house.gov/contact,Use web form,https://www.facebook.com/RepMaxwellFrost,https://twitter.com/RepMaxwellFrost,https://www.instagram.com/repmaxwellfrost,https://www.tiktok.com/@repmaxwellfrost,Central FL (Orlando),No,No
U.S. House,Webster,Daniel,,FL-11,Republican,2184 Rayburn House Office Building,20515,202-225-1002,https://webster.house.gov,https://webster.house.gov/contact,Use web form,https://www.facebook.com/RepWebster,https://twitter.com/RepWebster,https://www.instagram.com/repwebster,,Central FL (Sumter County),No,No
U.S. House,Bilirakis,Gus,M.,FL-12,Republican,2306 Rayburn House Office Building,20515,202-225-5755,https://bilirakis.house.gov,https://bilirakis.house.gov/contact,Use web form,https://www.facebook.com/RepGusBilirakis,https://twitter.com/RepGusBilirakis,https://www.instagram.com/repgusbilirakis,,West Central FL (Pasco County),No,No
U.S. House,Luna,Anna,Paulina,FL-13,Republican,1027 Longworth House Office Building,20515,202-225-5961,https://luna.house.gov,https://luna.house.gov/contact,Use web form,https://www.facebook.com/RepAnnaLuna,https://twitter.com/RepAnnaPaulinaLuna,https://www.instagram.com/repannapaulinaluna,https://www.tiktok.com/@repannapaulinaluna,Tampa Bay (Pinellas County),No,No
U.S. House,Castor,Kathy,,FL-14,Democrat,2052 Rayburn House Office Building,20515,202-225-3376,https://castor.house.gov,https://castor.house.gov/contact,Use web form,https://www.facebook.com/USRepKCastor,https://twitter.com/USRepKCastor,https://www.instagram.com/usrepkcastor,,Tampa,No,No
U.S. House,Lee,Laurel,M.,FL-15,Republican,2266 Rayburn House Office Building,20515,202-225-1252,https://laurellee.house.gov,https://laurellee.house.gov/contact,Use web form,https://www.facebook.com/RepLaurelLee,https://twitter.com/RepLaurelLee,https://www.instagram.com/replaurellee,,West Central Florida,No,No
U.S. House,Buchanan,Vern,,FL-16,Republican,2427 Rayburn House Office Building,20515,202-225-5015,https://buchanan.house.gov,https://buchanan.house.gov/contact,Use web form,https://www.facebook.com/CongressmanBuchanan,https://twitter.com/VernBuchanan,https://www.instagram.com/vernbuchanan,,Southwest FL (Sarasota),No,No
U.S. House,Steube,Greg,,FL-17,Republican,2457 Rayburn House Office Building,20515,202-225-5792,https://steube.house.gov,https://steube.house.gov/contact,Use web form,https://www.facebook.com/RepGregSteube,https://twitter.com/RepGregSteube,https://www.instagram.com/repgregsteube,,Southwest Florida,No,No
U.S. House,Franklin,Scott,,FL-18,Republican,1632 Longworth House Office Building,20515,202-225-3026,https://franklin.house.gov,https://franklin.house.gov/contact,Use web form,https://www.facebook.com/RepScottFranklin,https://twitter.com/RepFranklin,https://www.instagram.com/repscottfranklin,,Central FL (Lakeland),No,No
U.S. House,Donalds,Byron,,FL-19,Republican,523 Cannon House Office Building,20515,202-225-2536,https://donalds.house.gov,https://donalds.house.gov/contact,Use web form,https://www.facebook.com/RepByronDonalds,https://twitter.com/RepDonaldsPress,https://www.instagram.com/repbyrondonalds,https://www.tiktok.com/@repbyrondonalds,Southwest FL (Naples),No,No
U.S. House,Cherfilus-McCormick,Sheila,,FL-20,Democrat,1505 Longworth House Office Building,20515,202-225-1313,https://cherfilus-mccormick.house.gov,https://cherfilus-mccormick.house.gov/contact,Use web form,https://www.facebook.com/RepSheilaCherfilus,https://twitter.com/RepSheilaCC,https://www.instagram.com/repsheilacc,,Southeast FL (Broward/Palm Beach),No,No
U.S. House,Mast,Brian,J.,FL-21,Republican,2182 Rayburn House Office Building,20515,202-225-3026,https://mast.house.gov,https://mast.house.gov/contact,Use web form,https://www.facebook.com/RepBrianMast,https://twitter.com/RepBrianMast,https://www.instagram.com/repbrianmast,,Treasure Coast,No,No
U.S. House,Frankel,Lois,J.,FL-22,Democrat,2305 Rayburn House Office Building,20515,202-225-9890,https://frankel.house.gov,https://frankel.house.gov/contact,Use web form,https://www.facebook.com/RepLoisFrankel,https://twitter.com/RepLoisFrankel,https://www.instagram.com/reploisfrankel,,Southeast FL (West Palm Beach),No,No
U.S. House,Moskowitz,Jared,,FL-23,Democrat,213 Cannon House Office Building,20515,202-225-3001,https://moskowitz.house.gov,https://moskowitz.house.gov/contact,Use web form,https://www.facebook.com/RepMoskowitz,https://twitter.com/RepMoskowitz,https://www.instagram.com/repmoskowitz,https://www.tiktok.com/@repmoskowitz,Southeast FL (Broward County),No,No
U.S. House,Wilson,Frederica,S.,FL-24,Democrat,2445 Rayburn House Office Building,20515,202-225-4506,https://wilson.house.gov,https://wilson.house.gov/contact,Use web form,https://www.facebook.com/RepWilson,https://twitter.com/RepWilson,https://www.instagram.com/repwilson,,South FL (Miami-Dade),No,No
U.S. House,Diaz-Balart,Mario,,FL-25,Republican,374 Cannon House Office Building,20515,202-225-4211,https://mariodiazbalart.house.gov,https://mariodiazbalart.house.gov/contact,Use web form,https://www.facebook.com/MarioDB,https://twitter.com/MarioDB,https://www.instagram.com/mariodb,,South FL (Western Miami-Dade/Collier),No,No
U.S. House,Wasserman Schultz,Debbie,,FL-26,Democrat,2052 Rayburn House Office Building,20515,202-225-7931,https://wassermanschultz.house.gov,https://wassermanschultz.house.gov/contact,Use web form,https://www.facebook.com/RepDWStweets,https://twitter.com/RepDWStweets,https://www.instagram.com/repdws,,South FL (Broward/Miami-Dade),No,No
U.S. House,Salazar,Maria,Elvira,FL-27,Republican,1616 Longworth House Office Building,20515,202-225-3931,https://salazar.house.gov,https://salazar.house.gov/contact,Use web form,https://www.facebook.com/RepMariaSalazar,https://twitter.com/RepMariaSalazar,https://www.instagram.com/repmariasalazar,https://www.tiktok.com/@repmariasalazar,South FL (Miami),No,No
U.S. House,Gimenez,Carlos,A.,FL-28,Republican,1540 Longworth House Office Building,20515,202-225-2778,https://gimenez.house.gov,https://gimenez.house.gov/contact,Use web form,https://www.facebook.com/RepCarlosGimenez,https://twitter.com/RepCarlosGimenez,https://www.instagram.com/repcarlosgimenez,,South FL (Florida Keys/Monroe County),No,No
